LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
1690002911,1690318500,1690001402,1,105,000,84,강화동로,0,0,0,50,0,0,0,0,322.704887459657,20250512,,LINK1007,1690002900
2320006301,2320002504,2320002608,4,107,000,-,김포대로,0,0,0,60,0,0,480,0,306.622344529684,20250512,,LINK0003,
1690005503,1690029200,1690121300,2,104,000,-,강화대로,0,0,0,50,0,0,0,0,60.925530401264,20250512,,LINK1007,1690005501
2320177802,2320069103,2320069102,1,107,000,-,김포한강8로194번길,0,0,0,10,0,0,0,0,9.999894736977,20250512,,LINK0001,
1690014913,1690321000,1690321300,1,104,000,-,해안남로,0,0,0,60,0,0,0,0,422.375663183941,20250512,,LINK1007,1690014900
1690018800,1690006716,1690026600,1,104,000,-,가능포로,0,0,0,50,0,0,0,0,213.628822255693,20250512,,LINK0003,
2320556002,2320196603,2320196602,2,107,000,-,-,0,0,0,60,0,0,0,0,11.275533565675,20250512,도로명없음,LINK0001,
2320026305,2320122704,2320122703,1,107,000,-,율마로,0,0,0,60,0,0,0,0,12.591608800131,20250512,,LINK0001,
2320274501,2320099504,2320099503,1,107,000,-,모담공원로167번길,0,0,0,10,0,0,0,0,10.001189916056,20250512,,LINK0001,
2320081304,2320477500,2320012202,1,107,000,-,장차로,0,0,0,30,0,0,0,0,165.732465978612,20250512,,LINK1007,2320081300
2320502300,2320180001,2320244000,1,107,000,-,김포대로2435번길,0,0,0,40,0,0,0,0,191.512630103690,20250512,,LINK0003,
2320083101,2320014105,2320014106,2,107,000,-,신곡로,0,0,0,30,0,0,0,0,70.242573718132,20250512,,LINK0003,
2320001003,2320000422,2320000416,2,103,000,39,벌말로,0,0,0,50,0,0,0,0,244.443930825096,20250512,,LINK0003,
1690001102,1690016601,1690278900,1,104,000,-,길상로,0,0,0,50,0,0,0,0,307.603538136481,20250512,,LINK0003,
2320156901,2320062802,2320062801,1,107,000,-,김포한강9로12번길,0,0,0,10,0,0,0,0,10.000312144847,20250512,,LINK0001,
2320297000,2320106402,2320106302,2,101,000,400,수도권제2순환고속도로,0,0,0,100,5,0,0,0,578.334122542705,20250512,,LINK0003,
2320211501,2320080303,2320080302,1,107,000,-,김포한강1로78번길,0,0,0,10,0,0,0,0,10.329498304398,20250512,,LINK0001,
2320583319,2320304400,2320274600,1,105,000,56,애기봉로,0,0,0,60,0,0,0,0,71.799424104910,20250512,,LINK1007,2320583301
2320473704,2320248600,2320170805,1,107,000,-,풍무2로,0,0,0,30,0,0,0,0,226.515406885202,20250512,,LINK1007,2320473700
2320560802,2320124002,2320124005,2,107,000,-,도사1로,0,0,0,30,0,0,0,0,11.250582569346,20250512,,LINK0001,
2320334200,2320122114,2320121303,2,107,000,-,마송로,0,0,0,60,0,0,0,0,265.714295264613,20250512,,LINK0003,
2320091405,2320004303,2320057302,1,107,000,-,감암로,0,0,0,60,0,0,0,0,197.806709535102,20250512,,LINK0003,
1690061602,1690044600,1690022001,1,104,000,-,송악길,0,0,0,60,0,0,0,0,100.333176907256,20250512,,LINK1007,1690061600
1690023723,1690311700,1690065600,1,104,000,-,삼산북로,0,0,0,40,0,0,0,0,316.271576959015,20250512,,LINK1007,1690023701
2320002232,2320159302,2320159301,2,106,000,307,장제로,0,0,0,50,0,0,0,0,12.205496561314,20250512,,LINK0001,
1690004912,1690062300,1690002420,2,104,000,-,강화대로,0,0,0,60,0,0,0,0,40.062979806023,20250512,,LINK1007,1690004906
2320595200,2320200105,2320293000,1,107,000,-,태리2로,0,0,0,50,0,0,0,0,74.208412969185,20250512,,LINK0003,
2320581703,2320204802,2320204805,1,107,000,-,애기봉로806번길,0,0,0,60,0,0,0,0,11.502709317255,20250512,,LINK0001,
2320042504,2320033207,2320033206,1,107,000,-,대곶북로,0,0,0,60,0,0,0,0,12.043697858503,20250512,,LINK0001,
2320540100,2320189702,2320072508,1,107,000,-,김포한강6로,0,0,0,50,0,0,0,0,202.197327055991,20250512,,LINK0003,
2320234601,2320086604,2320086603,2,107,000,-,김포한강11로,0,0,0,30,0,0,0,0,12.000060662019,20250512,,LINK0001,
2320049815,2320522900,2320491200,1,107,000,-,하성로,0,0,0,30,0,0,0,0,348.940723365651,20250512,,LINK1007,2320049800
